"","IND","CA","GER","MEX","NY","RUS","UK","AUS","BRA","ISR","JPN","SA","SGP"
"Probability of rank = 1","50.0%","16.7%","16.7%","16.7%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 2","33.3%","0.0%","0.0%","0.0%","33.3%","16.7%","16.7%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 3","16.7%","16.7%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 4","0.0%","0.0%","0.0%","16.7%","16.7%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 5","0.0%","0.0%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","33.3%","0.0%"
"Probability of rank = 6","0.0%","0.0%","16.7%","16.7%","16.7%","16.7%","16.7%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 7","0.0%","33.3%","33.3%","16.7%","0.0%","33.3%","33.3%","33.3%","0.0%","33.3%","0.0%","33.3%","33.3%"
"Probability of rank = 8","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%"
"Probability of rank = 9","0.0%","16.7%","16.7%","0.0%","16.7%","16.7%","33.3%","16.7%","0.0%","16.7%","0.0%","0.0%","16.7%"
"Probability of rank = 10","0.0%","0.0%","16.7%","0.0%","0.0%","16.7%","0.0%","0.0%","0.0%","16.7%","0.0%","16.7%","0.0%"
"Probability of rank = 11","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.7%","16.7%","0.0%","0.0%","0.0%"
"Probability of rank = 12","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","16.7%","0.0%","0.0%"
"Probability of rank = 13","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%","50.0%","16.7%","83.3%","16.7%","0.0%"
